Molecule,Molecule name
C(=C)CCCCCC,C8H16
O=NN(C(=O)N[C@H]1[C@H](O[C@H](CO)[C@H]([C@@H]1O)O)O)C,C8H15N3O7
O=C1O[C@H]([C@@H](O)COC(=O)CCCCCCCCCCCCCCC)C(=C1O)O,C22H38O7
O=C1O[C@H]([C@@H](O)COC(=O)CCCCCCCCCCCCCCCCC)C(=C1O)O,C24H42O7
N1CCNCCNCCNCC1,C8H20N4
O=C1O[C@@H]2[C@@H]3C(=C(C)C[C@H]([C@H]2C1=C)O)C(=O)C=C3CO,C15H16O5
O=C1O[C@@H]2[C@@H]3C(=C(C)C[C@@H]([C@H]2C1=C)O)C(=O)C=C3COC(=O)Cc4ccc(O)cc4,C23H22O7
C(=[C])=[C],C3
O=C1O[C@@H]([C@@H](O)C=CC=CC=CC=CC=C([C@@H](O)C[C@@H](C[C@@H](C[C@@H](C[C@@H](C[C@@H](C[C@@H]([C@H]1[C@@H](O)CCCCC)O)O)O)O)O)O)C)C,C35H58O11
O=[N+]([O-])c1c(cc2CCC(Nc2c1)CNC(C)C)CO,C14H21N3O3
OCCCCCCCCC,C9H20O
C(CCCCC)(C)C,C8H18
O=C1N[C@H](CC2=N/C(=C\c3[nH]c(/C=C/4\NC(=O)[C@@H](\C4=C/C)C)c(c3CCC(=O)O)C)/C(=C2C)CCC(=O)O)C(=C1C=C)C,C33H38N4O6
O=C(OCCN(CC)CC)c1cc(OCCCC)c(N)cc1,C17H28N2O3
O=C(OCCN(C)C)c1ccc(NCCCC)cc1,C15H24N2O2
O=C(OCCN(CC)CC)c1cc(N)c(OCCC)cc1,C16H26N2O3
C(#Cc1ccccc1)c2c3c(c(C#Cc4ccccc4)c5c2cccc5)cccc3,C30H18
C=1C=C[CH]C1,C5H5
O=C(OC(C)C)C,C5H10O2
O=C(Oc1cc(-c2cc(C(=O)N)ccc2)ccc1)NC3CCCCC3,C20H22N2O3
O=C(OC(C)(C)C)C,C6H12O2
O=C(OC(CC)C)C,C6H12O2
O=C1C(=CC2[C@]1(O)CC(=CC3[C@@]24O[C@@]5(O[C@@](C3O5)(C(=C)C)C[C@H]4C)Cc6ccccc6)COC(=O)Cc7cc(OC)c(O)cc7)C,C37H40O9
OC[C@H]1[C@@H]2N(CCC1)CCCC2,C10H19NO
O=Cc1c(O)cccc1,C7H6O2
O1C(=NC(C1c2ccccc2)C)N,C10H12N2O
C1(=CC[C@@H]2C([C@H]1C2)(C)C)C,C10H16
O=C(O)c1c(OCC)cc(CC(=O)N[C@H](c2c(N3CCCCC3)cccc2)CC(C)C)cc1,C27H36N2O4
O=C(NC(C)(C)C)[C@H]1N(CCN(C1)Cc2cnccc2)C[C@@H](O)C[C@H](C(=O)N[C@H]3c4c(cccc4)C[C@H]3O)Cc5ccccc5,C36H47N5O4
O=C(OCCC)c1cc(O)c(O)c(c1)O,C10H12O5
O[C@]1([C@@H]([C@@]2(C(C(CCC2)(C)C)CC1)C)CC/C=C(/CC[C@@H]3C(=C)CCCC3(C)C)\C)C,C30H52O
n1[nH]c2C[C@H]3CCCN([C@@H]3Cc2c1)CCC,C13H21N3
Oc1c(O)cc2CC[C@@H]3[C@@H](c2c1)c4c(cccc4)CN3,C17H17NO2
Oc1c(O)cc2CCNCC(c2c1)c3ccccc3,C16H17NO2
Oc1cnccc1,C5H5NO
O=c1[nH]cccc1,C5H5NO
OC(c1ccccc1)(C2C3C=CC(C2)C3)CCN4CCCCC4,C21H29NO
C12CC(CC1)CC2,C7H12
O=c1c2c(oc(c1)-c3ccc(OC)cc3)c(OC)c(OC)c(c2OC)OC,C20H20O7
O=C(O)[C@H](N)Cc1cc(O)c(O)cc1,C9H11NO4
O=C1NCCC1,C4H7NO
O[C@@H]1CC2=CC[C@H]3[C@H]4[C@]([C@@H](O)CC4)(C)CC[C@@H]3[C@@]2(C)CC1,C19H30O2
O=C(c1c(O)cc(O)cc1)/C=C/c2ccc(O)cc2,C15H12O4
O=C(OCCc1ccc(O)cc1)C[C@@H](/C(/C=O)=C/C)CC=O,C17H20O5
O=C(O)C(=C)C,C4H6O2
O=C1OC(C)(C)C(N1C)=O,C6H9NO3
NCC,C2H7N
OC(c1ccccc1)(c2ccccc2)c3ccccc3,C19H16O
c12c3c(-c4ccccc4-c3ccc1)ccc2,C16H10
O=C1c2c3c(cccc3ccc2)-c4c1cccc4,C17H10O
N(=N\c1ccccc1)\c2ccc(N)cc2,C12H11N3
O=C1N2[C@H](C(=O)O[C@H](/C(=C\[C@H]3C[C@@H](OC)[C@H](O)CC3)/C)[C@@H]([C@@H](O)CC(=O)[C@H](CC)C=C(C[C@@H](C[C@@H]([C@H]4O[C@](C1=O)(O)[C@@H](C[C@@H]4OC)C)OC)C)C)C)CCCC2,C43H69NO12
O=c1n([nH]c(c1/N=N/c2ccccc2)C)-c3ccccc3,C16H14N4O
O=C1[C@@H]([C@@H](/C=C/[C@@H](O)CCCCC)[C@@H](C1)O)C/C=C\CCCC(=O)O,C20H32O5
N(=N\c1ccccc1)\c2ccc(N(CC)CC)cc2,C16H19N3
N(=N/c1ccc(/N=N\c2ccccc2)cc1)\c3c(NCC)ccc4c3cccc4,C24H21N5
Oc1c(/N=N/c2c(cc(/N=N/c3c(cccc3)C)c(c2)C)C)c4c(cccc4)cc1,C25H22N4O
O=C1c2c3c4c(C(=O)c5ccccc5-c4cc2)ccc3-c6c1cccc6,C24H12O2
O=C1c2c(C(=O)c3c1cccc3)c(Nc4ccc(C)cc4)ccc2O,C21H15NO3
O1[C@@]2(C(=C3[C@H]([C@@H]4CC=C5[C@@]([C@H]4C3)(CC[C@@H](C5)O)C)CC2)C)[C@H](C)[C@H]6[C@H]1C[C@H](C)CN6,C27H41NO2
OC1=CCC(C)(C)[C@H]2[C@@]13[C@]4([C@H]([C@]5([C@]([C@@H]([C@@H](CCCC(C)C)C)CC5)(C)CC4)C)CC2)C3,C30H50O
OC1C(C2C3(C4(C(C5(C(C(C(CCC=C(C)C)C)CC5)(C)CC4)C)CC2)C3)CC1)(C)C,C30H50O
C(/C=C/C=C(\CC/C=C(\CCC=C(C)C)/C)/C)(=C/C=C\C=C(\CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)\C,C40H62
O=c1nc([nH]c(c1O[C@@H]2O[C@@H]([C@@H](O)[C@@H]([C@H]2O)O)CO)N)N,C10H16N4O7
OC/C(=C/CNc1ncnc2c1[nH]cn2)/C,C10H13N5O
O=C(O)CCCCCC/C=C/C/C=C/C/C=C/CCCCC,C20H34O2
O=C(O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC,C20H34O2
OC(c1ccccc1)(C2CCCCC2)CCN3CCCCC3,C20H31NO
O=C(O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC,C18H28O2
O([3H])[3H],OT2
O(c1c(O)ccc(c1)/C=C/CO)C,C10H12O3
N([C@]1(C([C@H]2CC[C@@H]1C2)(C)C)C)C,C11H21N
O=C(NCC[C@H]1c2c3c(OCC3)ccc2CC1)CC,C16H21NO2
O(OC(C)(C)C)C(C)(C)C,C8H18O2
O=C(Oc1ccccc1)C(=O)Oc2ccccc2,C14H10O4
O=C(O)Cc1c(O)ccc(c1)O,C8H8O4
C(CC)(C)(C)C,C6H14
O=C(O)/C=C\C,C4H6O2
O=C1Nc2c(O)c3c(O)c(c4O[C@@](C(c4c3c5c2n6c(cc(C)cc6)n5)=O)(OC=C[C@H](OC)[C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]([C@H](C=CC=C1C)C)O)C)O)C)OC(=O)C)C)C)C,C43H51N3O11
O=C1C=C2[C@]([C@@]34O[C@@H]3C[C@]5([C@H]([C@@H]4[C@@H](C2)C(=O)OC)CC[C@]56OC(=O)CC6)C)(C)CC1,C24H30O6
O=C(OCCCC)c1ccc(N)cc1,C11H15NO2
O1c2c(O)ccc3c2[C@@]45[C@@H]1[C@]6(OC)[C@@H]([C@](O)(C(C)(C)C)C)C[C@@]4([C@H](NCC5)C3)CC6,C25H35NO4
N=C(NC(=N)N)N,C2H7N5
O(c1ccc(OC)cc1)C,C8H10O2
O(c1c(cccc1)C2CCCC2)C[C@@H](O)CNC(C)(C)C,C18H29NO2
n1c(nc(N(C)C)nc1N(C)C)N(C)C,C9H18N6
O=C1NC=2C(=O)C(=C(OC)C(C2)=O)C[C@H](C[C@H](OC)[C@H](O)[C@H](C=C([C@@H]([C@H](C=CC=C1C)OC)OC(=O)N)C)C)C,C29H40N2O9
O=[N+]([O-])C12C3([N+](=O)[O-])C4([N+](=O)[O-])C5C3([N+](=O)[O-])C1([N+](=O)[O-])C5(C24[N+](=O)[O-])[N+](=O)[O-],C8HN7O14
O1c2c3c(c4c(c5c(cc6OCOc6c5)cc4)[n+](c3)C)ccc2OC1,C20H14NO4
O1c2c(c(OC)c(CC=C(C)C)c(c2)O)-c3oc4c(c3C1)cc(CC=C(C)C)c(c4)O,C26H28O5
O=C(OCC#CCN(CC)CC)C(O)(c1ccccc1)C2CCCCC2,C22H31NO3
O=C(OCCCCCCCC)C,C10H20O2
O=Cc1c(O)c(ncc1CO)C,C8H9NO3
o1[n+]([O-])ccn1,C2H2N2O2
OCCCCCCCCCC,C10H22O
O=C(O)CCCCCCCC,C9H18O2
O=C1N(C(=O)C(N1)(c2ccccc2)CC)C,C12H14N2O2
O=C1c2c(O)cccc2[C@](O)(C)[C@@H]3C1=C(O)[C@]4(O)C(=O)C(=C(O)[C@H]([C@@H]4C3)N(C)C)C(=O)NCNCCCC[C@H](N)C(=O)O,C29H38N4O10
OC1C(=CCC(C1)C(=C)C)C,C10H16O
O=C(CCCCCCCCC)C,C11H22O
O=C1O[C@@H]([C@@H](OC)C=CC=C(C[C@H]([C@@H]([C@@H](C=C(C=C1OC)C)C)O)C)C)[C@H]([C@@H](O)[C@@H]([C@@]2(O[C@@H]([C@@H](C)[C@@H](C2)O)C(C)C)O)C)C,C35H58O9
O=C1O[C@@H]([C@@H](OC)C=CC=C(C[C@@H]([C@@H]([C@@H](C=C(C=C1OC)C)C)O)C)C)[C@H]([C@@H](O)[C@@H]([C@@]2(O[C@@H]([C@@H](C)[C@@H](C2)O)C(C)C)O)C)C,C35H58O9
N(C(CCC=C(C)C)C)C,C9H19N
O=C(OCOC(=O)C)c1oc(-c2oc3cc(N(CC(=O)OCOC(=O)C)CC(=O)OCOC(=O)C)c(cc3c2)OCCOc4c(N(CC(=O)OCOC(=O)C)CC(=O)OCOC(=O)C)ccc(c4)C)nc1,C44H47N3O24
O=C(OC(c1ccccc1)(C(CN(C)C)C)Cc2ccccc2)CC,C22H29NO2
O=C(O[C@@](c1ccccc1)([C@H](CN(C)C)C)Cc2ccccc2)CC,C22H29NO2
O=C(O)/C(=C/C=C(\[C@H](OC)C\C=C/C=C/CC/C=C/C[C@@H](/C=C/C(=C\C(=O)O)/CC(=O)O)C)/C)/C,C28H38O7
O=C(O)/C(=C/C=C(/C(OC)C/C=C/C=C/CC/C=C/CC(/C=C/C(=C/C(=O)O)/CC(=O)O)C)\C)/C,C28H38O7
O(c1c(OC)cc2C(C(C)=NN=C(c2c1)c3cc(OC)c(OC)cc3)CC)C,C22H26N2O4
O=C1NC(=O)C(C=C)(C(CCC)C)C(N1)=O,C11H16N2O3
O=C1NC(=O)C(CCCC)(CC)C(N1)=O,C10H16N2O3
O[C@]1([C@H]2C[C@@]3([C@@]4([C@H]([C@@]([C@H](O)CC4)(CO)C)CC[C@H]3C2)C)CC1)CO,C20H34O4
O=C1OCCCCC1,C6H10O2
O=C1NC(=O)C(/C(=C/CC)/C)(CC)C(N1)=O,C11H16N2O3
O=C(OCCC(C)C)C,C7H14O2
OCCC(C)C,C5H12O
O=C1/C(=N\Nc2ccc(C(=O)N)cc2)/c3c(cccc3)C=C1C(=O)Nc4c(OCC)cccc4,C26H22N4O4
O=C1N[C@H](c2ccccc2)CC=CCC[C@H](O)CC(C=3[C@@H](C=C(C=CC=C1)C)C[C@H](OC)C3O)=O,C29H35NO5
C1=CCCC=CCC1,C8H12
O=C1c2c(O[C@@H](C1)c3cc(O)c(OC)cc3)cc(O[C@@H]4O[C@@H]([C@@H](O)[C@@H]([C@H]4O)O)CO[C@@H]5O[C@H]([C@H](O)[C@H]([C@H]5O)O)C)cc2O,C28H34O15
O=[NH+]/C=C\1/N(C=CC=C1)C,C7H9N2O
O1[C@@H](OC[C@H]2O[C@@H](O)[C@H](O)[C@H]([C@@H]2O)O)[C@H](O)[C@@H](O)[C@@H]([C@H]1CO)O,C12H22O11
N=C(N)c1ccccc1,C7H8N2
O=C1NC=2C(=O)c3c(O)c(c4O[C@@](C(c4c3C=5C2NC6(CCN(CC(C)C)CC6)N5)=O)(OC=C[C@H](OC)[C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]([C@H](C=CC=C1C)C)O)C)O)C)OC(=O)C)C)C)C,C46H62N4O11
O=C1Nc2c(O)c3c(O)c(c4O[C@@](C(c4c3c(c2/C=N/N5CCN(C6CCCC6)CC5)O)=O)(OC=C[C@H](OC)[C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]([C@H](C=CC=C1C)C)O)C)O)C)OC(=O)C)C)C)C,C47H64N4O12
O=C=NCCCCCCN=C=O,C8H12N2O2
O=C=NC1CC(CC(C1)(C)C)(CN=C=O)C,C12H18N2O2
C(CCCC(CCCC(C)C)C)(CCCC(C)C)C,C19H40
O=C(OCC)c1ccccc1,C9H10O2
O=C(OC(=O)OC)OC,C4H6O5
C=1(C(=C(C)C(C1C)C)C)C,C10H16
[o+]1ccccc1,C5H5O
O=C1O[C@]23C=C[C@@H]([C@]1([C@H]3[C@H](C(=O)O)[C@]45[C@H]2CC[C@@](C4)(O)C(C5)=C)C)O,C19H22O6
O=C(N)c1c(OCC)cccc1,C9H11NO2
O=C(N)[C@@H]1O[C@@H]1C(=O)CC/C=C/C/C=C/C,C12H17NO3
O1c2c(cc3ccc4c(c3c2)[n+](cc5c(OC)c(OC)ccc45)C)OC1,C21H18NO4
O=C(O)C(N)CC(=O)c1c(N)cccc1,C10H12N2O3
O=C(O)Cc1c2c(ccc(c2)O)[nH]c1,C10H9NO3
O=C(OCC(CCCC)CC)CCCCCCCCC(=O)OCC(CCCC)CC,C26H50O4
O=C[C@H](O)[C@H](O)[C@H](O)C(O)CO,C6H12O6
O=C[C@H](O)[C@H](O)[C@@H](O)[C@H](O)CO,C6H12O6
O1C(O)[C@@H](O)[C@H](O)[C@@H]([C@H]1CO)O,C6H12O6
O=C[C@@H](O)[C@H](O)[C@H](O)C(O)CO,C6H12O6
O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,C6H12O6
O=C1c2ncccc2-c3c1nccc3,C11H6N2O
O=C1c2c(O[C@@H](C1)c3cc(O)c(OC)cc3)cc(O)cc2O,C16H14O6
O=c1c2c(oc(c1)-c3ccc(O)cc3)cc(O)cc2O,C15H10O5
O=C1N(C(=O)C=C1)CC,C6H7NO2
O1CCN(c2ccc(Nc3nc(NC4CCCCC4)c5[nH]cnc5n3)cc2)CC1,C21H27N7O
O=C(O)[C@@H](N)CCON=C(N)N,C5H12N4O3
O=c1c(O)c(oc2c1c(O)cc(c2)O)-c3ccc(O)cc3,C15H10O6
O=C(O)/C=C/c1ccc(O)cc1,C9H8O3
O=C(OC(C)C)/C=C(/C=C/CC(CCCC(OC)(C)C)C)\C,C19H34O3
O=C(c1cocc1)CCC(C)C,C10H14O2
N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,C12H4N4
O=C(OCC(COC(=O)C)CCn1c2nc(ncc2nc1)N)C,C14H19N5O4
O=[N+]([O-])c1c(O[C@@H]2O[C@@H]([C@H](O)[C@@H]([C@H]2O)O)CO)cccc1,C12H15NO8
O=C1O[C@@H](/C=C/C(=C\[C@@H](C/C=C/C(=C\[C@H](C(=O)[C@H]([C@H](O)[C@H](C/C(=C/C(=O)O)/C)C)C)C)/C)C)/CC)[C@@H](C)C=C1,C33H48O6
Oc1c(-c2ccccc2)cccc1,C12H10O
O=CC1=CCC(C(=C)C)CC1,C10H14O
O/N=C/C1=CC[C@@H](C(=C)C)CC1,C10H15NO
O=C(OCC(CCCC)CC)c1ccc(N(C)C)cc1,C17H27NO2
O=C(OCCC(C)C)c1ccc(N(C)C)cc1,C14H21NO2
O(c1c(OC)cccc1)C,C8H10O2
O=C(O)CCCCCCC/C=C/CCCCCCCC,C18H34O2
O=C(c1ccccc1)CC,C9H10O
O=c1oc2c(ccc3c2[C@@H](O)[C@@H](C(O[C@@H]4O[C@@H]([C@@H](O)[C@@H]([C@H]4O)O)CO)(C)C)O3)cc1,C20H24O10
O=C(c1ccccc1)C(N(CC)CC)C,C13H19NO
O=C(/C=C/c1ccccc1)/C=C/c2ccccc2,C17H14O
O=C(/C=C\c1ccccc1)/C=C/c2ccccc2,C17H14O
O=C(/C=C\c1ccccc1)/C=C\c2ccccc2,C17H14O
O=Nc1ccccc1,C6H5NO
O=C(N)C(c1ncccc1)(c2ccccc2)CCN(C(C)C)C(C)C,C21H29N3O
O1C(=NCC1c2ccccc2)N,C9H10N2O
O=C(OCC)C=1n2c3c(cccc3)c4c2[C@H]5N(CCC[C@]5(C1)CC)CC4,C22H26N2O2
O=C([C@@H](O)[C@H](O)[C@H](O)CO[C@H]1O[C@@H]([C@@H](O)[C@@H]([C@H]1O)O)CO)CO,C12H22O11
Oc1ccc(CC)cc1,C8H10O
O=C1NC(=O)C(C2=CCCCC2)(CC)C(N1)=O,C12H16N2O3
O=C1NC(=O)C(CC=C)(CC)C(N1)=O,C9H12N2O3
O=C1NC(=O)C(C2=CCCCCC2)(CC)C(N1)=O,C13H18N2O3
O=C(OCC(CCCC)CC)C(C#N)=C(c1ccccc1)c2ccccc2,C24H27NO2
O=C(OCC(CCCC)CC)c1c(O)cccc1,C15H22O3
O=c1n(c(=O)c2n(C)cnc2n1C)C.O=C(O)C(O)(CC(=O)O)CC(=O)O,C14H18N4O9
O=C1O[C@H](CCCC(=O)CCCC=Cc2c1c(O)cc(O)c2)C,C18H22O5
O(c1ccc(O)cc1)c2ccc(CCN)cc2,C14H15NO2
O=C1/C(=C\2/N(N\C(\N2)=C\3/C(=O)C=CC=C3)c4ccc(C(=O)O)cc4)/C=CC=C1,C21H15N3O4
O1C(OCC1CO)(C)C,C6H12O3
NCCC,C3H9N
OCC(CCCC)CC,C8H18O
O=c1oc2c(cccc2)c(c1C3c4c(cccc4)CCC3)O,C19H16O3
ONc1ccccc1,C6H7NO
O=NN([O-])c1ccccc1.[NH4+],C6H9N3O2
O=C(O)C(N)C(c1ccccc1)c2ccccc2,C15H15NO2
O=C(O)C(N(c1ccccc1)c2ccccc2)C,C15H15NO2
O=C/1N[C@H](C(=O)NC[C@H](N)C(=O)N[C@H](C(N[C@H](C(N\C1=C\NC(=O)N)=O)CNC(=O)C[C@@H](N)CCCN)=O)CO)[C@@H]2NC(=NCC2)N.O=C/1N[C@H](C(=O)NC[C@H](N)C(=O)N[C@H](C(N[C@H](C(N\C1=C\NC(=O)N)=O)CNC(=O)C[C@@H](N)CCCN)=O)C)[C@@H]2NC(=NCC2)N,C50H88N28O15
O=C1NOC[C@H]1N,C3H6N2O2
O=C(c1c2c(ccc1)cccc2)c3c4c5c(OC[C@H](n5c3C)CN6CCOCC6)ccc4,C27H26N2O3
O=C(OC)N,C2H5NO2
N1CCNCCNCC1,C6H15N3
O=C(NCNNC(=O)C(O)(c1ccccc1)c2ccccc2)c3ccccc3,C22H21N3O3
O1[C@]2(O[C@H]3C[C@H]4[C@H]5[C@@H]([C@@]6([C@H](C[C@H](O)CC6)CC5)C)[C@H](C[C@@]4([C@H]3[C@]2(O)C)C)O)C[C@@H](C1(C)C)C,C28H46O5
O=C1OC=C[C@@](O)(C(=O)[C@@H](C)CC=C[C@@H]2[C@]3(O1)C(=O)N[C@H]([C@@H]3[C@H](C)[C@@]4([C@H]2O4)C)Cc5ccccc5)C,C28H33NO7
O=C(O[C@@H]1[C@]2(O[C@]34[C@H]([C@]5(O)C[C@H](O)[C@]6([C@H]([C@@]5(C3)O)CN7C[C@@H](C)CC[C@H]7[C@]6(O)C)O)CC[C@H]2[C@]4(C)CC1)O)c8cc(OC)c(OC)cc8,C36H51NO11
c1(ccccc1)[C](c2ccccc2)c3ccccc3,C19H15
O1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@H]3[C@H]1[C@H](O)[C@H](NC)[C@@H](O[C@H]4O[C@@H]([C@@H](N)[C@@H]([C@H]4O)O)CO)O3,C21H41N5O11
O=C(O)[C@H]1N(C(=O)[C@@H](N[C@H](C(=O)OCC)CCc2ccccc2)C)[C@H]3CCCC[C@@H]3C1,C24H34N2O5
O=C(O)CN(CC(=O)O)CC(=O)O,C6H9NO6
Oc1cc2c(C[C@H]3N(CC4CCC4)CC[C@]25[C@@]3(O)CCCC5)cc1,C21H29NO2
O=c1n2c(-c3nc4ccc(c(c4cc3C2)CN(C)C)O)cc5c1COC([C@]5(O)CC)=O,C23H23N3O5
O=C1C(=C[C@H]2C1(O)CC(=C[C@@H]3[C@@]2(O)[C@@H]([C@@H](O)[C@]4([C@H]3C4(C)C)O)C)CO)C,C20H28O6
O=c1c2c(oc(c1)C(=O)O)c(c3n(c(C(=O)O)cc(c3c2)=O)CC)CCC,C19H17NO7
O=C(Nc1c(cccc1)C)C(NCCC)C,C13H20N2O
O=C(Nc1c(cccc1C)C)C(N(CCC)CC)CC,C17H28N2O
O=C(NCc1ccc(OCCN(C)C)cc1)c2cc(OC)c(OC)c(c2)OC,C21H28N2O5
O=C(O)C(N)CCCNC(=N)N(C)C,C8H18N4O2
O[C@@H]1CC2=CC=C3[C@H]4[C@]([C@@H]([C@@H](/C=C/[C@@H](C(C)C)C)C)CC4)(C)CC[C@H]3[C@]2(C)CC1,C28H44O
O=C1C(=C(O)C2=CO[C@@H]([C@H](C2=C1C)C)C)C(=O)O,C13H14O5
c1(ccccc1)C(c2ccccc2)(c3ccccc3)c4ccccc4,C25H20
c1(ccccc1)C(c2ccccc2)(c3ccccc3)C(c4ccccc4)(c5ccccc5)c6ccccc6,C38H30
O=c1oc(nc2c1cc(C)cc2)Nc3ccc(C)cc3,C16H14N2O2
O=C1O[C@@H]2[C@@H]3O[C@@]3(CCC=C(CC[C@H]2C1=C)C)C,C15H20O3
c1(c(ccc(c1)C)C)C,C9H12
O=C1c2c(-c3n[nH]c4c3c1ccc4)cccc2,C14H8N2O
O=C1O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(O[C@@H](C(N([C@H]1Cc2ccccc2)C)=O)C(C)C)=O)Cc3ccccc3)C)C(C)C)Cc4ccccc4)C)C(C)C,C45H57N3O9
O=N,HNO
O=C=[C],C2O
n1nc2c(cccc2)c3c1cccc3,C12H8N2
Oc1ccc(CCN(C)C)cc1,C10H15NO
O(C(OCC)OCC)CC,C7H16O3
O=C(OC)[C@]12c3[nH]c4ccccc4c3CCN5[C@H]1[C@H](C[C@H](C2)C5)CCOC,C22H28N2O3
O=C1C=C2[C@](C3=CC[C@@]4([C@@](O)(C(=O)COC(=O)C)CC[C@H]4[C@@H]3CC2)C)(C)CC1,C23H30O5
O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])c1nc(nc(n1)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],C6N12O18
OC1C2(CC(C1(C)C)CC2)C,C10H18O
O(c1c(O)ccc(c1)CC)C,C9H12O2
O=C1C(=CC[C@H](C1)C(C(=O)O)=C)C,C10H12O3
O=C1C(=CC[C@@H](C1)C(C(=O)O)=C)C,C10H12O3
O=C(OCC)c1n(cnc1)C(c2ccccc2)C,C14H16N2O2
O=C(N[C@H](C(=O)O)CCC(=O)O)N,C6H10N2O5
c12c(cc3cc4ccccc4cc3c1)cc5cc6ccccc6cc5c2,C26H16
C(=C)CCCCCCC,C9H18
O=NN/N=C/C=C/C=C/C/C=C/CCC,C11H17N3O
c12c(c3c(CC3)c4c1CC4)CC2,C12H12
O=[N+]([O-])c1ccc(NC(=O)C)cc1,C8H8N2O3
O=c1c(O)c(oc2c1c(O)cc(c2)O)-c3cc(O)c(O)c(c3)O,C15H10O8
O=C(Oc1ccc(C(c2ncccc2)c3ccc(OC(=O)C)cc3)cc1)C,C22H19NO4
O=C1Nc2c(nccc2)N(c3c1cccc3)C(=O)CN4CCN(C)CC4,C19H21N5O2
O[C@@H]1CC2=CC[C@H]3[C@H]4[C@]([C@@H]([C@@H](CC[C@H](C(C)C)CC)C)CC4)(C)CC[C@@H]3[C@@]2(C)CC1,C29H50O
C(=C)CCCCCCCCCCCCCCCC,C18H36
O=[N+]([O-])c1cc2nc(Cc3ccc(OCC)cc3)n(c2cc1)CCN(CC)CC,C22H28N4O3
O=C1C2C(=CCC1C2(C)C)C,C10H14O
O=CC1CC=C(CCCC(O)(C)C)CC1,C13H22O2
O=C1C=C([C@@H]2C([C@H]1C2)(C)C)C,C10H14O
O[C@@H]1C[C@@H]2[C@]([C@@H]3[C@H]([C@H]4[C@]([C@@H]([C@@H](CCCC(C)C)C)CC4)(C)CC3)CC2)(C)CC1,C27H48O
O=C(c1cc2OCOc2cc1)C(NCC)C,C12H15NO3
c12c(cccc1)CCC=C2,C10H10
OCC(C)(C)C,C5H12O
O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC(=O)O,C14H23N3O10
O=C(Nc1c(cccc1C)C)[C@H]2N(CCCC2)CCCC,C18H28N2O
OC(CCCC)C,C6H14O
O=[N+]([O-])c1nnnc(c1[N+](=O)[O-])[N+](=O)[O-],C3N6O6
O=[N+]([O-])c1nc([N+](=O)[O-])nc(n1)[N+](=O)[O-],C3N6O6
O=C(O)[C@@H](CC(=O)O[C@@H]([C@@H](OC(=O)C[C@H](C(=O)O)CC(=O)O)C[C@H](CCCCCC[C@@H](O)C[C@H](O)[C@@H](N)C)C)[C@@H](CCCC)C)CC(=O)O,C34H59NO14
O=C(O)[C@@H]([C@@H]1O[C@H](CC[C@@H]1C)C[C@H]2O[C@]3(O[C@@]([C@@H]4O[C@@]([C@@H]5O[C@@H]([C@H]6O[C@](O)([C@H](C)C[C@@H]6C)CO)C[C@@H]5C)(C)CC4)(C)C[C@H]3C)[C@H](C)[C@@H](C2)OC)C,C40H68O11
OC[C@H](Nc1nc(NCc2ccccc2)c3ncn(c3n1)C(C)C)CC,C19H26N6O
O=c1c2c(occ1-c3ccc(O)cc3)cc(O)cc2O,C15H10O5
O=C(c1c2c3c(O[C@@H]4[C@@]35[C@@H](C=C[C@@H]4O)[C@@H](C2)N(C)CC5)c(c1)O)C,C19H21NO4
O=C(OCC)C=[N+]=[N-],C4H6N2O2
N1=C2N(CCC1)CCCN2,C7H13N3
O(CCn1c(nc2c1cccc2)N3CCN(C)CCC3)CC,C17H26N4O
Oc1c(cc([C@@H](O)CNC(C)(C)C)cc1)CO,C13H21NO3
O=[N+](OCCNC(=O)c1cnccc1)[O-],C8H9N3O4
O=C(OC(CCCCC)CC)CCCCCCCCCCCCCCC,C24H48O2
O=C1COc2cc(C)ccc2OC1,C10H10O3
O=C(Oc1c2c(N[C@@H](C)[C@H]3[C@H]2C[C@H](O)CC3)cc(c1)O[C@@H](CCCc4ccccc4)C)C,C27H35NO4
N1=C(N2c3c(cccc3)Cc4c(C2C1)cccc4)N,C16H15N3
O=C1NC(=O)CN(C1)[C@H](CN2CC(=O)NC(C2)=O)C,C11H16N4O4
